latitude,longitude,brightness,scan,track,acq_date,timestamp,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,predio
30.88739,-110.85799,367,0.45,0.63,04/01/2023,04/01/2023 21:14,2114,1,VIIRS,h,2.0NRT,294.76,8.77,D,J1V1796
30.88702,-110.86015,340.67,0.45,0.63,04/01/2023,04/01/2023 21:14,2114,1,VIIRS,n,2.0NRT,293.73,5.71,D,J1V1801
30.87323,-110.651,332.45,0.39,0.44,08/01/2023,08/01/2023 20:50,2050,N,VIIRS,n,2.0NRT,299.47,1.82,D,VIIRS3314
31.27153,-110.97709,300.92,0.42,0.37,30/01/2023,30/01/2023 09:21,921,N,VIIRS,n,2.0NRT,274.48,1.4,N,VIIRS13497
31.27077,-110.97278,312.06,0.42,0.37,30/01/2023,30/01/2023 09:21,921,N,VIIRS,n,2.0NRT,273.65,1.07,N,VIIRS13498
31.17233,-110.72279,332.45,0.39,0.36,02/02/2023,02/02/2023 20:29,2029,1,VIIRS,n,2.0NRT,299.77,3.1,D,J1V15166
30.76418,-111.14091,319.5,2.78,1.59,05/02/2023,05/02/2023 20:14,2014,Aqua,MODIS,71,6.1NRT,305.42,43.13,D,MODIS471
30.76893,-111.13522,351.79,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,n,2.0NRT,310.88,7.15,D,VIIRS16236
30.76828,-111.13926,346.58,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,n,2.0NRT,312.35,5.51,D,VIIRS16237
30.77225,-111.13593,350.58,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,n,2.0NRT,310.32,7.15,D,VIIRS16238
30.7716,-111.13998,341.71,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,n,2.0NRT,310.15,5.51,D,VIIRS16239
30.77622,-111.13259,335.17,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,l,2.0NRT,309.67,7.73,D,VIIRS16240
30.77954,-111.13331,345.63,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,n,2.0NRT,312.34,7.73,D,VIIRS16241
30.78285,-111.13402,354.65,0.39,0.36,05/02/2023,05/02/2023 20:25,2025,N,VIIRS,n,2.0NRT,308.58,10.01,D,VIIRS16242
30.77555,-111.13229,339.22,0.56,0.69,05/02/2023,05/02/2023 19:34,1934,1,VIIRS,n,2.0NRT,302.97,11.57,D,J1V16396
30.77405,-111.1379,367,0.56,0.69,05/02/2023,05/02/2023 19:34,1934,1,VIIRS,h,2.0NRT,308.24,11.57,D,J1V16397
30.7801,-111.13998,348.43,0.56,0.69,05/02/2023,05/02/2023 19:34,1934,1,VIIRS,n,2.0NRT,302.17,8.24,D,J1V16406
30.78636,-111.13109,330.6,0.43,0.62,05/02/2023,05/02/2023 21:14,2114,1,VIIRS,n,2.0NRT,303.73,2.01,D,J1V16409
30.78666,-111.12653,332.84,0.43,0.62,05/02/2023,05/02/2023 21:14,2114,1,VIIRS,n,2.0NRT,302.76,2.01,D,J1V16410
30.78035,-111.13513,342.87,0.43,0.62,05/02/2023,05/02/2023 21:14,2114,1,VIIRS,n,2.0NRT,306.47,7.83,D,J1V16411
30.78064,-111.13058,342.27,0.43,0.62,05/02/2023,05/02/2023 21:14,2114,1,VIIRS,n,2.0NRT,306.6,3.79,D,J1V16412
30.78093,-111.12605,338.68,0.43,0.62,05/02/2023,05/02/2023 21:14,2114,1,VIIRS,n,2.0NRT,305.49,3.79,D,J1V16413
30.76861,-111.13863,349.73,0.43,0.62,05/02/2023,05/02/2023 21:14,2114,1,VIIRS,n,2.0NRT,307.77,6.72,D,J1V16414
31.29741,-110.96493,345.01,0.36,0.57,08/02/2023,08/02/2023 21:10,2110,N,VIIRS,n,2.0NRT,295.76,5.2,D,VIIRS18031
31.25784,-110.96378,301.51,1,1,03/03/2023,03/03/2023 17:53,1753,Terra,MODIS,34,6.1NRT,284.52,3.19,D,MODIS4545
31.27708,-110.79224,335.35,0.37,0.58,04/03/2023,04/03/2023 21:08,2108,1,VIIRS,n,2.0NRT,299.2,1.58,D,J1V33661
